modelo,estrato,pmid,gold,resposta,pubs_gold,pubs_chutado,razao,chute_no_abstract
gemma4_31b,Q1_Super_Populares,17244614,heme oxygenase-1,MT2A,1207,162,0.13421706710853357,False
gemma4_31b,Q1_Super_Populares,20972462,E-cadherin,PTEN,2236,2820,1.2611806797853309,False
gemma4_31b,Q1_Super_Populares,21444672,STAT3,CSK,3707,299,0.08065821418937145,False
gemma4_31b,Q1_Super_Populares,18721466,DQB1,DRB1,1556,46,0.02956298200514139,True
gemma4_31b,Q1_Super_Populares,22590959,Sirt1,FoxO3,1828,807,0.4414660831509847,False
gemma4_31b,Q1_Super_Populares,25310146,Interleukin 1 beta,IL10,3216,3484,1.0833333333333333,False
gemma4_31b,Q1_Super_Populares,27595159,ICAM-1,TNF-alpha,1358,6448,4.748159057437408,False
gemma4_31b,Q1_Super_Populares,34293399,mTOR,LAT1,2569,156,0.06072401712728688,True
gemma4_31b,Q1_Super_Populares,23359812,CTLA4,CD80,1339,243,0.18147871545929797,False
gemma4_31b,Q1_Super_Populares,12086670,BCL2,Bcl2l11,2227,519,0.23304894476874718,False
gemma4_31b,Q1_Super_Populares,19254255,HLA DRB1,DRB1,2875,46,0.016,False
gemma4_31b,Q1_Super_Populares,24142575,p300,TFF1,1409,189,0.13413768630234207,False
gemma4_31b,Q1_Super_Populares,24233813,IL-1ra,TNF-alpha,1051,6448,6.135109419600381,False
gemma4_31b,Q1_Super_Populares,19188749,COX-2,VEGF,2314,5214,2.2532411408815904,False
gemma4_31b,Q1_Super_Populares,26438079,ABCB1,SLCO1B1,2567,410,0.15971951694585118,False
gemma4_31b,Q1_Super_Populares,37776850,CTLA4,CD28,1339,425,0.3174010455563854,True
gemma4_31b,Q1_Super_Populares,11239517,HLA-DQB,HLA-DRB1,1556,2875,1.8476863753213368,False
gemma4_31b,Q1_Super_Populares,12966525,serotonin transporter,5-HT2A,2401,737,0.3069554352353186,False
gemma4_31b,Q1_Super_Populares,14680975,PPARgamma,ADIPOQ,2278,2464,1.0816505706760315,False
gemma4_31b,Q1_Super_Populares,16044857,TLR4,TLR2,2778,1624,0.5845932325413967,False
gemma4_31b,Q1_Super_Populares,18816594,c-myc,Srp54,2704,119,0.04400887573964497,False
gemma4_31b,Q1_Super_Populares,20820192,BRCA1,Oct1,3456,253,0.07320601851851852,True
gemma4_31b,Q1_Super_Populares,15592292,FAS,MBL2,1262,863,0.6838351822503962,True
gemma4_31b,Q1_Super_Populares,29148541,MYC,mTOR,2704,2569,0.9500739644970414,False
gemma4_31b,Q1_Super_Populares,18683754,hMLH1,XPA,1112,273,0.24550359712230216,False
gemma4_31b,Q1_Super_Populares,22844442,CASP3,VDR,1255,2492,1.9856573705179283,False
