pmid,gold_answer,nivel,n_acertos,veredito_manual,justificativa,revisado,trecho_abstract
10340378,insulin receptor,N1,3,Vazamento real,"O gold aparece integro e sem mascara: 'the SHC PTB domain binds poorly to the insulin receptor (IR) beta subunit'. Revisado em 2026-07-20 (item so visivel apos o auditor passar a consumir acerto_estrito do julgador; a resposta era 'insulin-receptor', com hifen).",sim,". unlike irs 1, the shc ptb domain binds poorly to the insulin receptor (ir) beta subunit in vitro, owing to its low affinity "
10898498,HLA-C.,N2,3,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C. Mesmo padrao de 24818561 e 30797824. Revisado em 2026-07-20 (o gold tem ponto final: 'HLA-C.').",sim,rface expression of hla e requires binding of specific hla class i leader sequences. the uterine mucosa in early pr
11145944,HDL3,N1,4,Vazamento real,O gold aparece integro: 'the role of ApoE in mediating HDL2 and HDL3 binding'. O PubTator anotou uma ocorrencia e deixou esta visivel.,sim,"we investigated the role of apoe in mediating hdl2 and hdl3 binding to the extracellular vascular proteoglycan, bi"
16757480,spermidine/spermine N(1)-acetyltransferase,N1,1,Vazamento real,"O nome por extenso esta no titulo, sem mascara: 'TNF-alpha induces spermidine/spermine N1-acetyltransferase through NF-kappaB'. A mascara falhou por variacao ortografica -- o gabarito grafa 'N(1)-' e o abstract escreve 'N1-'. Revisado em 2026-07-20.",sim,tumor necrosis factor alpha induces spermidine/spermine n1 acetyltransferase through nuclear factor kappab in non small cell lung c
20578216,estrogen receptor,N1,1,Vazamento real,O gold aparece integro no titulo: 'estrogen receptor alpha36 mediates a bone sparing effect'. A mascara cobriu outra ocorrencia mas nao esta.,sim,estrogen receptor alpha36 mediates a bone sparing effect of 17beta estro
24784582,parkin,N2,3,Duvidoso,"N2 casou dentro de 'parkinsonism' -- nome da doenca, nao mencao ao gene PRKN.",sim,genes responsible for hereditary recessive early onset parkinsonism. pink1 is a ser/thr kinase that specifically acc
24818561,HLA-C,N2,3,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C.",sim,r genes in individuals. ssp real time pcr was used for hla class i ligand genotyping and real time quantitative rev
25338662,factor V,N2,1,Vazamento real,"N2 casou em 'factor Va', que e a forma ATIVADA do proprio Factor V -- mesmo gene (F5), nao outro. A cadeia 'factor V' estava disponivel para copia.",sim,phosphate accelerates [mask] activation by factor xia. factor va enhances the rate of prothrombin activation by factor
28778566,miR-524,N1,4,Vazamento real,A forma madura 'miR-524-3p' ficou visivel enquanto a outra ocorrencia virou '[MASK]-5p'. O PubTator anota o miRNA maduro como entidade distinta e por isso nao mascarou.,sim," the expression of pri [mask] by histone modification. mir 524 3p and [mask] 5p inhibited tgf/beta, notch and the hip"
29252126,insulin,N1,4,Vazamento real,O gold aparece integro no titulo: 'leptin levels and insulin dependence in latent autoimmune diabetes in adults'.,sim,leptin levels and insulin dependence in latent autoimmune diabetes in adults. la
30797824,HLA-C,N2,2,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C.",sim,te stable antigenic epitopes for their presentation by hla class i (hla i) molecules to t cell receptor. by influen
33256324,glutaminyl-tRNA Synthetase,N1,4,Vazamento real,O nome por extenso esta no titulo: 'QARS1 gene related glutaminyl-tRNA synthetase deficiency syndrome'. O simbolo QARS1 tambem esta exposto ao lado.,sim,[qars1 gene related glutaminyl trna synthetase deficiency syndrome: report of three cases and a revie
36672939,HOXB,N2,4,Duvidoso,"N2 casou dentro de 'HOXB6' -- outro gene do cluster HOXB, nao o alvo.",sim," supernumerary cusp formation, and increased hoxa4 and hoxb6 gene expression when compared to the controls. togeth"
37101349,hsa-miR-4639,N1,4,Vazamento real,"A forma madura 'hsa-miR-4639-5p' esta no titulo, sem mascara. Mesmo mecanismo de 28778566.",sim,regulation of hsa mir 4639 5p expression and its potential role in the pathogenes
37768355,CDC23,N2,4,Vazamento real,"N2 casou em 'CDC23Y329C/Y329C', a notacao da mutacao -- que embute o simbolo do gene alvo. O PubTator anota a mutacao como entidade distinta e nao mascara o simbolo dentro dela.",sim,a cells and mouse oocytes. in vivo studies showed that cdc23y329c/y329c mice successfully mimicked the patients phe
38594840,KRAS,N2,4,Vazamento real,N2 casou em 'KRASG12D driver mutation' -- o simbolo do gene alvo embutido na notacao da mutacao. Mesmo mecanismo de 37768355.,sim,"itrosamine ketone; nnk) lac mouse models harboring the krasg12d driver mutation, aim2 was highly upregulated compa"
8192860,alpha s1-casein,N1,2,Vazamento real,O gold aparece integro no titulo: 'human alpha-s1-casein like protein: purification and N-terminal sequence determination'.,sim,human alpha s1 casein like protein: purification and n terminal sequence det
