pmid,estrato,gold_answer,n_modelos,modelos,respostas,termo_que_casou,comprimento_termo,na_amostra,veredito_manual,nota_revisor,contexto
12750767,Q1_Super_Populares,IDDM2,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,INS,ins,3,sim,eco_real,INS visivel colado na mascara: '[MASK]/[MASK](INS)',...o determine whether combining iddm1/hla and [mask]/ [mask]( ins) 5' variable number of tandem repeat locus (vntr) genotypes...
12941811,Q1_Super_Populares,androgen receptor,2,gemma4_26b;llama3.3_70b,AR,ar,2,sim,eco_real,sigla do alvo visivel: 'GSN as an AR-associated protein',".... here we report the identification of gelsolin (gsn) as an ar-associated protein. hydroxyflutamide (hf), as well as andro..."
14612430,Q1_Super_Populares,TNF,1,qwen3.6_35b,tumor necrosis factor,tumor necrosis factor,21,nao,eco_real,nome por extenso visivel: 'the transmembrane form of tumor necrosis factor (m[MASK])',"...mediated by the mapk/erk pathway. the transmembrane form of tumor necrosis factor (m[mask]), expressed on activated monocytes (mo) and macrop..."
14758530,Q1_Super_Populares,IL-1ra,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,IL1RN,il1rn,5,sim,eco_real,"'IL1RN*1, IL1RN*2...' listados logo apos a mascara","...lleles of the [mask] gene were identified and designated as il1rn*1, il1rn*2, il1rn*3, il1rn*4, and il1rn*5, according to the..."
14986816,Q1_Super_Populares,interleukin (IL)1alpha,3,gemma4_31b;llama3.3_70b;qwen3.6_35b,IL1,il1,3,sim,eco_real,"AMBIGUO: 'il1' visivel em 'IL1 receptor agonist' e 'IL1(-511)', que sao IL1RN e IL1B -- outros genes da familia. A string da resposta (IL1) esta literalmente no texto, entao conta pelo criterio (A).","... analysis of the [mask]( - 889), il1beta( - 511 and +3954), il1 receptor agonist (ra)(intron2 vntr), il4(intron3 vntr) and ..."
15802968,Q1_Super_Populares,CC-chemokine receptor 5,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,CCR5,ccr5,4,nao,eco_real,'the CCR5-delta32 mutant allele' no titulo,...frequency of the ccr5-delta32 mutant allele is not increased in belgian hepatitis...
17310371,Q1_Super_Populares,insulin,3,gemma4_26b;llama3.3_70b;qwen3.6_35b,INS,ins,3,nao,eco_real,'[MASK] gene (INS) variable number of tandem repeats',...ed for all children and 1090 children also had [mask] gene (ins) variable number of tandem repeats (vntr) typing. results: ...
18154472,Q1_Super_Populares,cytochrome P450 (CYP) 2C9 and 2C19,1,gemma4_31b,CYP2C9,CYP2C9,6,sim,eco_real,'the CYP2C9 and [MASK] genotypes' -- resposta literal no texto,...ned by a high-performance liquid chromatography method. the cyp2c9 and [mask] genotypes were analyzed by polymerase chain reac...
18160396,Q1_Super_Populares,adenomatous polyposis coli protein,4,gemma4_26b;gemma4_31b;llama3.3_70b;qwen3.6_35b,APC,apc,3,nao,eco_real,'the adenomatous polyposis coli (APC) protein tumor suppressor',...ications for cell survival. the adenomatous polyposis coli (apc) protein tumor suppressor is mutated in the majority of col...
18674658,Q1_Super_Populares,"interleukin (IL)-4, -10, and -13",3,gemma4_26b;gemma4_31b;qwen3.6_35b,IL-13 | IL-4,IL,2,nao,eco_real,"'6 genes: IL-4, IL-4 receptor, [MASK]...' -- IL-4 faz parte do proprio gold composto","...mined 72 single nucleotide polymorphisms (snps) in 6 genes: il-4, il-4 receptor, [mask], [mask] receptor alpha, [mask] rec..."
19170767,Q1_Super_Populares,beta-amyloid precursor protein,2,gemma4_26b;llama3.3_70b,APP,app,3,nao,eco_real,'in an attempt to express human [MASK] (APP) in yeast',"...aromyces cerevisiae. in an attempt to express human [mask] (app) in yeast, we fortuitously found that this protein is only ..."
