modelo,pmid,estrato,nivel,gold_answer,resposta_modelo,trecho_abstract,veredito_manual,justificativa
Gemma 4 Denso 31B,11145944,Q4_Cauda_Longa,N1,HDL3,HDL3,"we investigated the role of apoe in mediating hdl2 and hdl3 binding to the extracellular vascular proteoglycan, bi",Vazamento real,O gold aparece integro: 'the role of ApoE in mediating HDL2 and HDL3 binding'. O PubTator anotou uma ocorrencia e deixou esta visivel.
Gemma 4 Denso 31B,36672939,Q4_Cauda_Longa,N2,HOXB,HOXB," supernumerary cusp formation, and increased hoxa4 and hoxb6 gene expression when compared to the controls. togeth",Duvidoso,"N2 casou dentro de 'HOXB6' -- outro gene do cluster HOXB, nao o alvo."
Gemma 4 Denso 31B,37101349,Q4_Cauda_Longa,N1,hsa-miR-4639,hsa-miR-4639,regulation of hsa mir 4639 5p expression and its potential role in the pathogenes,Vazamento real,"A forma madura 'hsa-miR-4639-5p' esta no titulo, sem mascara. Mesmo mecanismo de 28778566."
Gemma 4 Denso 31B,28778566,Q3_Baixa_Popularidade,N1,miR-524,miR-524," the expression of pri [mask] by histone modification. mir 524 3p and [mask] 5p inhibited tgf/beta, notch and the hip",Vazamento real,A forma madura 'miR-524-3p' ficou visivel enquanto a outra ocorrencia virou '[MASK]-5p'. O PubTator anota o miRNA maduro como entidade distinta e por isso nao mascarou.
Gemma 4 Denso 31B,10340378,Q2_Medios,N1,insulin receptor,insulin receptor,". unlike irs 1, the shc ptb domain binds poorly to the insulin receptor (ir) beta subunit in vitro, owing to its low affinity ",Vazamento real,"O gold aparece integro e sem mascara: 'the SHC PTB domain binds poorly to the insulin receptor (IR) beta subunit'. Revisado em 2026-07-20 (item so visivel apos o auditor passar a consumir acerto_estrito do julgador; a resposta era 'insulin-receptor', com hifen)."
Gemma 4 Denso 31B,24784582,Q2_Medios,N2,parkin,Parkin,genes responsible for hereditary recessive early onset parkinsonism. pink1 is a ser/thr kinase that specifically acc,Duvidoso,"N2 casou dentro de 'parkinsonism' -- nome da doenca, nao mencao ao gene PRKN."
Gemma 4 Denso 31B,33256324,Q2_Medios,N1,glutaminyl-tRNA Synthetase,glutaminyl-tRNA synthetase deficiency,[qars1 gene related glutaminyl trna synthetase deficiency syndrome: report of three cases and a revie,Vazamento real,O nome por extenso esta no titulo: 'QARS1 gene related glutaminyl-tRNA synthetase deficiency syndrome'. O simbolo QARS1 tambem esta exposto ao lado.
Gemma 4 Denso 31B,37768355,Q2_Medios,N2,CDC23,CDC23,a cells and mouse oocytes. in vivo studies showed that cdc23y329c/y329c mice successfully mimicked the patients phe,Vazamento real,"N2 casou em 'CDC23Y329C/Y329C', a notacao da mutacao -- que embute o simbolo do gene alvo. O PubTator anota a mutacao como entidade distinta e nao mascara o simbolo dentro dela."
Gemma 4 Denso 31B,10898498,Q1_Super_Populares,N2,HLA-C.,HLA-C,rface expression of hla e requires binding of specific hla class i leader sequences. the uterine mucosa in early pr,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C. Mesmo padrao de 24818561 e 30797824. Revisado em 2026-07-20 (o gold tem ponto final: 'HLA-C.')."
Gemma 4 Denso 31B,24818561,Q1_Super_Populares,N2,HLA-C,HLA-C,r genes in individuals. ssp real time pcr was used for hla class i ligand genotyping and real time quantitative rev,Falso alarme,"N2 casou com o inicio de 'HLA class I' -- e a classe do complexo, nao o gene HLA-C."
