modelo,estrato,pmid,gold_answer,resposta_modelo,alias_nebb,termo_que_casou,origem_termo,comprimento_termo,casou_por_alias,casou_por_resposta,contexto,veredito_manual,nota_revisor
gemma4_26b,Q4_Cauda_Longa,11054531,keratinocyte differentiation-associated protein,Kdap,kdap,kdap,alias_nebb,4,True,True,"...kdap, a novel gene associated with the stratification of the epi...",,
gemma4_26b,Q4_Cauda_Longa,18844450,testis serine protease 1,T-SP1,t-sp1,t-sp1,alias_nebb,5,True,True,...t-sp1: a novel serine protease-like protein predominantly express...,,
gemma4_26b,Q4_Cauda_Longa,21252223,SWI5-MEI5,Sae3-Mei5,sae3,sae3,alias_nebb,4,True,True,"...ologous recombination repair, the budding yeast counterpart sae3-mei5 is meiosis-specific, interacts with dmc1, and promotes...",,
gemma4_26b,Q4_Cauda_Longa,25752612,N-acetylated alpha-linked acidic dipeptidase-like protein,HILAP,hilap,hilap,alias_nebb,5,True,True,...est a new name for this enzyme: human ileal aminopeptidase (hilap)...,,
gemma4_26b,Q4_Cauda_Longa,26884884,dual-specificity phosphatase 5 pseudogene 1,DUSP5P1,dusp5p1,dusp5p1,alias_nebb,7,True,True,...high expression of [mask] (dusp5p1) is associated with poor prognosis in acute myeloid leukemi...,,
gemma4_26b,Q4_Cauda_Longa,29084806,LOC102723505,ROCR,rocr,rocr,alias_nebb,4,True,True,...the long non-coding rna rocr contributes to sox9 expression and chondrogenic differentia...,,
gemma4_26b,Q4_Cauda_Longa,29110645,Long intergenic non-protein-coding RNA 1567,LOCCS,loccs,loccs,alias_nebb,5,True,True,"...n ability, and tumorigenicity of cd133+/cd166+/cd44+ cells. loccs-sirna and pcdna-loccs plasmid vectors were constructed and ...",,
gemma4_26b,Q4_Cauda_Longa,30539011,MicroRNA-4739,miRNA-4739,mirna-4739,mirna-4739,alias_nebb,10,True,True,"...pendent cohorts, qrt-pcr validation confirmed the increased mirna-4739 level in patients with cli versus patients without cli. mir...",,
gemma4_26b,Q4_Cauda_Longa,30844657,MicroRNA-575,miRNA-575,mirna-575,mirna-575,alias_nebb,9,True,True,...ly impaired anti-proliferative effects of [mask] inhibitor. mirna-575 serves a pivotal role in gc as a cancer promoter gene by ta...,,
gemma4_26b,Q4_Cauda_Longa,30951563,microRNA-4474/4717,miR-4474,mir-4474,mir-4474,alias_nebb,8,True,True,...hip human transcriptome array 2.0. the results suggest that mir-4474 and [mask] are up-regulated in crc tissues in response to f...,,
gemma4_26b,Q4_Cauda_Longa,31012177,miR-567,miRNA-567,mirna-567,mirna-567,alias_nebb,9,True,True,"... experimental evidence confirmed that cmras was a sponge of mirna-567 and released its direct target, ptprg. cmras overexpression...",,
gemma4_26b,Q4_Cauda_Longa,31019085,LOC105372576,WAKMAR1,wakmar1,wakmar1,alias_nebb,7,True,True,...human skin long noncoding rna wakmar1 regulates wound healing by enhancing keratinocyte migration...,,
gemma4_26b,Q4_Cauda_Longa,31197235,LINC00284,ALDH1A3-regulated long non-coding RNA NRAD1,nrad1,nrad1,alias_nebb,5,True,True,...aldh1a3-regulated long non-coding rna nrad1 is a potential novel target for triple-negative breast tumo...,,
gemma4_26b,Q4_Cauda_Longa,31364107,microRNA-8073,MiRNA-8073,mirna-8073,mirna-8073,alias_nebb,10,True,True,...mirna-8073 targets znt1 to inhibit malignant progression of ovarian ca...,,
gemma4_26b,Q4_Cauda_Longa,31582779,miR-4484,miRNA-4484,mirna-4484,mirna-4484,alias_nebb,10,True,True,...a novel mirna-4484 is up-regulated on microarray and associated with increased...,,
gemma4_26b,Q4_Cauda_Longa,32000125,LINC01011,CISAL,cisal,cisal,alias_nebb,5,True,True,...lncrna cisal inhibits brca1 transcription by forming a tertiary structur...,,
gemma4_26b,Q4_Cauda_Longa,32583575,microRNA-620,MiRNA-620,mirna-620,mirna-620,alias_nebb,9,True,True,...mirna-620 promotes tgf-beta1-induced proliferation of airway smooth m...,,
gemma4_26b,Q4_Cauda_Longa,33046716,LINC01546,VAL,val,val,alias_nebb,3,True,True,...akt-induced lncrna val promotes emt-independent metastasis through diminishing tri...,,
gemma4_26b,Q4_Cauda_Longa,33505972,linc01013,Aerrie,aerrie,aerrie,alias_nebb,6,True,True,...long non-coding rna aerrie controls dna damage repair via ybx1 to maintain endothelial...,,
gemma4_26b,Q4_Cauda_Longa,33789307,MiR-3161,miRNA-3161,mirna-3161,mirna-3161,alias_nebb,10,True,True,...l in patients. rs2953 t allele introduced a binding site to mirna-3161 and thus decreased luciferase activity. conclusion: polymor...,,
