estrato,pmid,geneid,hgnc_symbol,status,forma_casada,trecho_evidencia
Q1_Super_Populares,28765952,23411,SIR2L1; SIRT1,sobreviveu,,
Q1_Super_Populares,23669636,6622,NACP; PARK1; PARK4; PD1; SNCA,sobreviveu,,
Q1_Super_Populares,15802968,1234,CC-CKR-5; CCR5; CD195; CKR-5; CKR5; CMKBR5; IDDM22,sobreviveu,,
Q1_Super_Populares,33813478,406991,MIR-21; MIR21; MIRN21; hsa-mir-21,sobreviveu,,
Q1_Super_Populares,35563538,23435,ALS10; TARDBP; TDP-43,descarte_a_fora_abstract,,
Q1_Super_Populares,11398114,1234,CC-CKR-5; CCR5; CD195; CKR-5; CKR5; CMKBR5; IDDM22,sobreviveu,,
Q1_Super_Populares,18037739,4879,NPPB,sobreviveu,,
Q1_Super_Populares,17244614,3162,HMOX1; HO-1; bK286B10,sobreviveu,,
Q1_Super_Populares,20532504,5243,ABC20; ABCB1; CD243; CLCS; GP170; MDR1; P-gp; PGY1; p-170,sobreviveu,,
Q1_Super_Populares,34994576,673,BRAF; BRAF-1; BRAF1,sobreviveu,,
Q1_Super_Populares,25086254,596,BCL2; Bcl-2; PPP1R50,sobreviveu,,
Q1_Super_Populares,1756856,183,AGT; SERPINA8,sobreviveu,,
Q1_Super_Populares,20972462,999,CD324; CDH1; UVO; uvomorulin,sobreviveu,,
Q1_Super_Populares,25983111,7450,F8VWF; VWF,sobreviveu,,
Q1_Super_Populares,23867349,6696,BNSP; BSPI; ETA-1; OPN; SPP1; lnc-PKD2-2-3,sobreviveu,,
Q1_Super_Populares,16153003,4233,DFNB97; HGFR; MET; RCCP2,descarte_a_fora_abstract,,
Q1_Super_Populares,21444672,6774,APRF; STAT3,sobreviveu,,
Q1_Super_Populares,12941811,367,AIS; AR; DHTR; HUMARA; NR3C4; SBMA; SMAX1,sobreviveu,,
Q1_Super_Populares,22083549,79068,ALKBH9; FTO; IFEX9; KIAA1752; MGC5149,sobreviveu,,
Q1_Super_Populares,29588308,3791,CD309; FLK1; KDR; VEGFR; VEGFR2,sobreviveu,,
Q1_Super_Populares,17661909,3119,CELIAC1; HLA-DQB; HLA-DQB1; IDDM1,sobreviveu,,
Q1_Super_Populares,33446896,3815,C-Kit; CD117; KIT; PBT; SCFR,sobreviveu,,
Q1_Super_Populares,32816951,5133,CD279; PD-1; PD1; PDCD1; SLEB2; hSLE1,descarte_a_fora_abstract,,
Q1_Super_Populares,24371373,3146,DKFZp686A04236; HMG1; HMG3; HMGB1; SBP-1,sobreviveu,,
Q1_Super_Populares,34293399,2475,FLJ44809; FRAP; FRAP1; FRAP2; MTOR; RAFT1; RAPT1; mTOR,sobreviveu,,
Q1_Super_Populares,25310146,3553,IL-1B; IL1-BETA; IL1B; IL1F2,sobreviveu,,
Q1_Super_Populares,22590959,23411,SIR2L1; SIRT1,sobreviveu,,
Q1_Super_Populares,19167252,1312,COMT,sobreviveu,,
Q1_Super_Populares,27595159,3383,BB2; CD54; ICAM1,sobreviveu,,
Q1_Super_Populares,19597184,4609,MYC; MYCC; bHLHe39; c-Myc,sobreviveu,,
Q1_Super_Populares,25814554,6714,ASV; SRC; SRC1; c-src,descarte_a_fora_abstract,,
Q1_Super_Populares,26350099,4780,NFE2L2; NRF-2; NRF2,sobreviveu,,
Q1_Super_Populares,18528966,4879,NPPB,descarte_a_fora_abstract,,
Q1_Super_Populares,17704059,3688,CD29; FNRB; GPIIA; ITGB1; MDF2; MSK12,sobreviveu,,
Q1_Super_Populares,18175243,3791,CD309; FLK1; KDR; VEGFR; VEGFR2,sobreviveu,,
Q1_Super_Populares,24694986,183,AGT; SERPINA8,sobreviveu,,
Q1_Super_Populares,19916862,5054,PAI; PAI1; PLANH1; SERPINE1,sobreviveu,,
Q1_Super_Populares,26126526,4318,CLG4B; MMP9,sobreviveu,,
Q1_Super_Populares,36994474,4780,NFE2L2; NRF-2; NRF2,sobreviveu,,
Q1_Super_Populares,18721466,3119,CELIAC1; HLA-DQB; HLA-DQB1; IDDM1,sobreviveu,,
Q1_Super_Populares,16724696,4292,COCA2; FCC2; HNPCC; HNPCC2; MLH-1; MLH1,sobreviveu,,
Q1_Super_Populares,21191630,3791,CD309; FLK1; KDR; VEGFR; VEGFR2,sobreviveu,,
Q1_Super_Populares,31727962,367,AIS; AR; DHTR; HUMARA; NR3C4; SBMA; SMAX1,sobreviveu,,
Q1_Super_Populares,24008518,7157,LFS1; TP53; p53,sobreviveu,,
Q1_Super_Populares,20678555,1813,D2R; DRD2,sobreviveu,,
Q1_Super_Populares,19138820,1956,EGFR; ERBB; ERBB1; ERRP,sobreviveu,,
Q1_Super_Populares,37392490,7852,CD184; CXCR4; D2S201E; HM89; HSY3RR; LESTR; NPY3R; NPYR; NPYY3R; fusin,sobreviveu,,
Q1_Super_Populares,31209784,351,AD1; APP; alpha-sAPP,descarte_a_fora_abstract,,
Q1_Super_Populares,15713910,3383,BB2; CD54; ICAM1,sobreviveu,,
Q1_Super_Populares,17437619,2944,GST1; GSTM1; H-B; MU,sobreviveu,,
Q1_Super_Populares,23359812,1493,CD; CD152; CELIAC3; CTLA-4; CTLA4; GSE; IDDM12,sobreviveu,,
Q1_Super_Populares,21400500,50943,AIID; DIETER; FOXP3; IPEX; JM2; PIDX; SCURFIN; XPID,sobreviveu,,
Q1_Super_Populares,19167832,367,AIS; AR; DHTR; HUMARA; NR3C4; SBMA; SMAX1,sobreviveu,,
Q1_Super_Populares,26931569,4137,DDPAC; FLJ31424; FTDP-17; MAPT; MAPTL; MGC138549; MSTD; MTBT1; MTBT2; PPND; PPP1R103; TAU; Tau-PHF6; tau; tau-40,sobreviveu,,
Q1_Super_Populares,19755524,1499,CTNNB; CTNNB1; armadillo; beta-catenin,sobreviveu,,
Q1_Super_Populares,24189400,8878,A170; OSIL; PDB3; SQSTM1; p60; p62; p62B,descarte_a_fora_abstract,,
Q1_Super_Populares,24927568,4000,CMD1A; HGPS; LGMD1B; LMN1; LMNA; LMNL1; MADA; PRO1,descarte_a_fora_abstract,,
Q1_Super_Populares,26551706,4780,NFE2L2; NRF-2; NRF2,sobreviveu,,
Q1_Super_Populares,14727255,7450,F8VWF; VWF,sobreviveu,,
Q1_Super_Populares,25088788,3458,IFNG,sobreviveu,,
Q1_Super_Populares,23230665,3952,LEP; OB; OBS,sobreviveu,,
Q1_Super_Populares,19608668,1499,CTNNB; CTNNB1; armadillo; beta-catenin,descarte_b_no_abstract,beta-catenin,"alysis of TP53, PTEN, PIK3CA and CTNNB1/beta-catenin genes in human herpesvirus 8-associated"
Q1_Super_Populares,30573668,581,BAX; BCL2L4,sobreviveu,,
Q1_Super_Populares,28351623,3480,CD221; IGF1R; IGFIR; IGFR; JTK13; MGC18216,descarte_b_no_abstract,IGF1R,horts of SGA subjects. We have used the Igf1r heterozygous (Igf1r+/-) male mouse as a
Q1_Super_Populares,26181201,6622,NACP; PARK1; PARK4; PD1; SNCA,sobreviveu,,
Q1_Super_Populares,24142575,2033,EP300; KAT3B; p300,sobreviveu,,
Q1_Super_Populares,23787408,110806262,,descarte_nao_verificavel,,
Q1_Super_Populares,26109559,1027,CDKN1B; KIP1; P27KIP1,sobreviveu,,
Q1_Super_Populares,32064896,6622,NACP; PARK1; PARK4; PD1; SNCA,sobreviveu,,
Q1_Super_Populares,25730908,1956,EGFR; ERBB; ERBB1; ERRP,sobreviveu,,
Q1_Super_Populares,34060368,3791,CD309; FLK1; KDR; VEGFR; VEGFR2,sobreviveu,,
Q1_Super_Populares,25735793,1499,CTNNB; CTNNB1; armadillo; beta-catenin,sobreviveu,,
Q1_Super_Populares,11044375,7097,CD282; TIL4; TLR2,sobreviveu,,
Q1_Super_Populares,19254255,3123,HLA-DR1B; HLA-DRB1,sobreviveu,,
Q1_Super_Populares,12086670,596,BCL2; Bcl-2; PPP1R50,sobreviveu,,
Q1_Super_Populares,37055579,5970,NFKB3; RELA; p65,sobreviveu,,
Q1_Super_Populares,34721756,6696,BNSP; BSPI; ETA-1; OPN; SPP1; lnc-PKD2-2-3,sobreviveu,,
Q1_Super_Populares,24233813,3557,ICIL-1RA; IL-1RN; IL1F3; IL1RA; IL1RN; IRAP; MGC10430,sobreviveu,,
Q1_Super_Populares,28602977,6774,APRF; STAT3,sobreviveu,,
Q1_Super_Populares,33030848,29126,B7-H; B7-H1; B7H1; CD274; PD-L1; PDCD1LG1; PDL1,sobreviveu,,
Q1_Super_Populares,37749552,6387,CXCL12; PBSF; SCYB12; SDF-1a; SDF-1b; SDF1; SDF1A; SDF1B; TLSF-a; TLSF-b; TPAR1,sobreviveu,,
Q1_Super_Populares,20158519,6714,ASV; SRC; SRC1; c-src,sobreviveu,,
Q1_Super_Populares,19037107,3690,CD61; GP3A; GPIIIa; ITGB3,descarte_a_fora_abstract,,
Q1_Super_Populares,19712061,120892,DKFZp434H2111; FLJ45829; LRRK2; PARK8; RIPK7; ROCO2,sobreviveu,,
Q1_Super_Populares,37776850,1493,CD; CD152; CELIAC3; CTLA-4; CTLA4; GSE; IDDM12,sobreviveu,,
Q1_Super_Populares,22126575,4524,MTHFR,sobreviveu,,
Q1_Super_Populares,28559539,348,AD2; APOE,sobreviveu,,
Q1_Super_Populares,17172814,7015,EST2; TCS1; TERT; TP2; TRT; hEST2,sobreviveu,,
Q1_Super_Populares,30586202,1813,D2R; DRD2,sobreviveu,,
Q1_Super_Populares,26438079,5243,ABC20; ABCB1; CD243; CLCS; GP170; MDR1; P-gp; PGY1; p-170,sobreviveu,,
Q1_Super_Populares,19188749,5743,COX2; PTGS2,sobreviveu,,
Q1_Super_Populares,10842192,5743,COX2; PTGS2,sobreviveu,,
Q1_Super_Populares,30021006,6622,NACP; PARK1; PARK4; PD1; SNCA,sobreviveu,,
Q1_Super_Populares,20221873,5444,ESA; PON; PON1,sobreviveu,,
Q1_Super_Populares,28346478,4846,ECNOS; NOS3; eNOS,sobreviveu,,
Q1_Super_Populares,18495130,7097,CD282; TIL4; TLR2,sobreviveu,,
Q1_Super_Populares,26203933,6696,BNSP; BSPI; ETA-1; OPN; SPP1; lnc-PKD2-2-3,descarte_a_fora_abstract,,
Q1_Super_Populares,24804827,3606,IGIF; IL-18; IL-1g; IL18; IL1F4,sobreviveu,,
Q1_Super_Populares,23236014,110806262,,descarte_nao_verificavel,,
Q1_Super_Populares,33811702,142,ADPRT; ARTD1; PARP; PARP1; PARS; PPOL; Poly-PARP,sobreviveu,,
Q1_Super_Populares,12631667,2944,GST1; GSTM1; H-B; MU,descarte_b_no_abstract,MU,"me P450 1A1, glutathione S-transferases mu-1, pi-1, and theta-1, and epoxide hydro"
Q1_Super_Populares,23562910,3725,AP-1; JUN; c-Jun,descarte_b_no_abstract,JUN, immediate early response genes FOS and JUN and intellectual disability.   Loss of 
Q1_Super_Populares,26928204,5599,JNK; JNK1; MAPK8; PRKM8; SAPK1,descarte_a_fora_abstract,,
Q1_Super_Populares,20820192,672,BRCA1; BRCC1; FANCS; PPP1R53; RNF53,sobreviveu,,
Q1_Super_Populares,22085486,1234,CC-CKR-5; CCR5; CD195; CKR-5; CKR5; CMKBR5; IDDM22,sobreviveu,,
Q1_Super_Populares,16044857,7099,ARMD10; CD284; TLR-4; TLR4; hToll,sobreviveu,,
Q1_Super_Populares,27027444,672,BRCA1; BRCC1; FANCS; PPP1R53; RNF53,sobreviveu,,
Q1_Super_Populares,12036871,7450,F8VWF; VWF,sobreviveu,,
Q1_Super_Populares,18816594,4609,MYC; MYCC; bHLHe39; c-Myc,sobreviveu,,
Q1_Super_Populares,14680975,5468,NR1C3; PPARG; PPARG1; PPARG2; PPARgamma,sobreviveu,,
Q1_Super_Populares,20211062,960,CD44; CD44R; CDw44; CSPG8; ECM-III; H-CAM; HCELL; HUTCH-1; HUTCH-I; Hermes-1; IN; MC56; MDU2; MDU3; MIC4; PGP-1; Pgp1,sobreviveu,,
Q1_Super_Populares,19942375,5054,PAI; PAI1; PLANH1; SERPINE1,descarte_a_fora_abstract,,
Q1_Super_Populares,14504875,2153,F5; fV,sobreviveu,,
Q1_Super_Populares,11016625,672,BRCA1; BRCC1; FANCS; PPP1R53; RNF53,sobreviveu,,
Q1_Super_Populares,35167908,4879,NPPB,descarte_a_fora_abstract,,
Q1_Super_Populares,11239517,3119,CELIAC1; HLA-DQB; HLA-DQB1; IDDM1,sobreviveu,,
Q1_Super_Populares,26552750,6387,CXCL12; PBSF; SCYB12; SDF-1a; SDF-1b; SDF1; SDF1A; SDF1B; TLSF-a; TLSF-b; TPAR1,sobreviveu,,
Q1_Super_Populares,12370403,7124,DIF; TNF; TNF-alpha; TNFA; TNFSF2,sobreviveu,,
Q1_Super_Populares,12966525,6532,5-HTT; HTT; OCD1; SERT1; SLC6A4,sobreviveu,,
Q1_Super_Populares,37486536,5728,BZS; MHAM; MMAC1; PTEN; PTEN1; TEP1,sobreviveu,,
Q1_Super_Populares,10885567,3105,HLA-A,sobreviveu,,
Q1_Super_Populares,22707636,2932,GSK3B,sobreviveu,,
Q1_Super_Populares,14534709,3146,DKFZp686A04236; HMG1; HMG3; HMGB1; SBP-1,sobreviveu,,
Q1_Super_Populares,20870462,351,AD1; APP; alpha-sAPP,descarte_a_fora_abstract,,
Q1_Super_Populares,15592292,355,APO-1; APT1; CD95; FAS; FAS1; TNFRSF6,sobreviveu,,
Q1_Super_Populares,31983437,351,AD1; APP; alpha-sAPP,sobreviveu,,
Q1_Super_Populares,30905898,406991,MIR-21; MIR21; MIRN21; hsa-mir-21,sobreviveu,,
Q1_Super_Populares,29148541,4609,MYC; MYCC; bHLHe39; c-Myc,sobreviveu,,
